"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0007399","nervous system development","43/46","287/1855",0.149825783972125,6.04188759278897,14.8106996720392,8.33966147296631e-33,1.1884017598977e-29,9.97247940346288e-30,"VIM/CFL1/SDC2/LMO4/NAP1L1/ITGB1/EIF4G2/ALCAM/CDC42/TSPO/VASP/SPAG9/NREP/AGO2/BRD2/WDR1/ATF5/TACC1/XRN2/IER2/RALA/MACF1/MBNL1/MYCBP2/RHEB/VEGFA/EIF4E/NCAM1/ATRX/SDC4/B4GALT5/ATXN10/LST1/TUBB2A/USP9X/ITGA6/LRP12/HOOK3/UGCG/TNFRSF1B/HERC1/PPP3CA/SKIL",43
"BP","GO:0022008","neurogenesis","36/46","201/1855",0.17910447761194,7.2225827384815,14.8941407399188,1.45195767716736e-27,9.48567349419642e-25,7.95990772994063e-25,"VIM/CFL1/SDC2/LMO4/NAP1L1/ITGB1/EIF4G2/ALCAM/CDC42/TSPO/VASP/SPAG9/NREP/WDR1/ATF5/XRN2/IER2/MACF1/MYCBP2/RHEB/VEGFA/EIF4E/NCAM1/SDC4/B4GALT5/ATXN10/LST1/USP9X/ITGA6/LRP12/HOOK3/UGCG/TNFRSF1B/HERC1/PPP3CA/SKIL",36
"BP","GO:0048731","system development","45/46","454/1855",0.0991189427312775,3.99707910362,11.7144407949637,1.99698389351504e-27,9.48567349419642e-25,7.95990772994063e-25,"VIM/CFL1/SDC2/LMO4/NAP1L1/ITGB1/EIF4G2/ALCAM/CDC42/TSPO/VASP/SPAG9/NREP/AGO2/BRD2/WDR1/ATF5/TACC1/XRN2/IER2/RALA/MACF1/MBNL1/MYCBP2/RHEB/VEGFA/EIF4E/NCAM1/ATRX/SDC4/B4GALT5/ATXN10/LST1/TUBB2A/EIF4A3/USP9X/ITGA6/LRP12/HOOK3/UGCG/FMNL3/TNFRSF1B/HERC1/PPP3CA/SKIL",45
"BP","GO:0030182","neuron differentiation","31/46","162/1855",0.191358024691358,7.71672034353194,14.2659531018728,1.5500368795311e-23,5.52200638332956e-21,4.63379446091404e-21,"VIM/CFL1/SDC2/LMO4/ITGB1/EIF4G2/ALCAM/CDC42/TSPO/VASP/SPAG9/NREP/ATF5/XRN2/IER2/MACF1/MYCBP2/VEGFA/EIF4E/NCAM1/SDC4/B4GALT5/ATXN10/LST1/USP9X/ITGA6/LRP12/UGCG/HERC1/PPP3CA/SKIL",31
"BP","GO:0048699","generation of neurons","31/46","171/1855",0.181286549707602,7.31057716755657,13.8073581665861,9.11022562934513e-23,2.59641430436336e-20,2.1787823820918e-20,"VIM/CFL1/SDC2/LMO4/ITGB1/EIF4G2/ALCAM/CDC42/TSPO/VASP/SPAG9/NREP/ATF5/XRN2/IER2/MACF1/MYCBP2/VEGFA/EIF4E/NCAM1/SDC4/B4GALT5/ATXN10/LST1/USP9X/ITGA6/LRP12/UGCG/HERC1/PPP3CA/SKIL",31
"BP","GO:0048666","neuron development","28/46","134/1855",0.208955223880597,8.42634652822842,14.2282560386234,6.50341631672614e-22,1.54456137522246e-19,1.29611946242121e-19,"VIM/CFL1/SDC2/LMO4/ITGB1/EIF4G2/ALCAM/CDC42/TSPO/VASP/SPAG9/NREP/ATF5/MACF1/MYCBP2/VEGFA/NCAM1/SDC4/B4GALT5/ATXN10/LST1/USP9X/ITGA6/LRP12/UGCG/HERC1/PPP3CA/SKIL",28
"BP","GO:0031175","neuron projection development","26/46","119/1855",0.218487394957983,8.81074168797954,14.0412377472594,1.23961838241845e-20,2.52350884992327e-18,2.11760373297347e-18,"VIM/CFL1/SDC2/LMO4/ITGB1/EIF4G2/ALCAM/CDC42/TSPO/VASP/SPAG9/NREP/MACF1/MYCBP2/VEGFA/NCAM1/SDC4/B4GALT5/ATXN10/LST1/USP9X/ITGA6/LRP12/HERC1/PPP3CA/SKIL",26
"BP","GO:0120036","plasma membrane bounded cell projection organization","29/46","176/1855",0.164772727272727,6.64463932806324,12.5482071759566,1.03593661580784e-19,1.84526209690771e-17,1.54845262573382e-17,"VIM/CFL1/SDC2/LMO4/ITGB1/EIF4G2/ALCAM/CDC42/TSPO/VASP/SPAG9/NREP/PLEKHO1/RALA/MACF1/MYCBP2/VEGFA/NCAM1/SDC4/B4GALT5/ATXN10/LST1/USP9X/ITGA6/LRP12/FMNL3/HERC1/PPP3CA/SKIL",29
"BP","GO:0030030","cell projection organization","29/46","179/1855",0.162011173184358,6.5332766577605,12.4161339896859,1.71505453386327e-19,2.71550301195017e-17,2.2787157315423e-17,"VIM/CFL1/SDC2/LMO4/ITGB1/EIF4G2/ALCAM/CDC42/TSPO/VASP/SPAG9/NREP/PLEKHO1/RALA/MACF1/MYCBP2/VEGFA/NCAM1/SDC4/B4GALT5/ATXN10/LST1/USP9X/ITGA6/LRP12/FMNL3/HERC1/PPP3CA/SKIL",29
"BP","GO:0048468","cell development","35/46","340/1855",0.102941176470588,4.15121483375959,10.2500421568913,6.86452522229423e-18,9.78194844176927e-16,8.2085270026592e-16,"VIM/CFL1/SDC2/LMO4/NAP1L1/ITGB1/EIF4G2/ALCAM/CDC42/TSPO/VASP/SPAG9/NREP/BRD2/WDR1/ATF5/MACF1/MYCBP2/RHEB/VEGFA/NCAM1/ATRX/SDC4/B4GALT5/ATXN10/LST1/USP9X/ITGA6/LRP12/HOOK3/UGCG/TNFRSF1B/HERC1/PPP3CA/SKIL",35
