"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0002181","cytoplasmic translation","84/96","120/1855",0.7,13.5260416666667,33.1369320455316,1.7069078704654e-102,1.47135458434117e-99,1.47135458434117e-99,"RPL37/YBX1/RPS18/RPS27/RPLP1/RPL41/RPS23/RPS14/RPS8/RPL37A/RPL13/RPL30/RPS24/RPL39/RPL28/RPS15/RPS6/RPS12/RPS27A/RPL8/RPS2/RPL11/RPS28/RPL29/RPL5/RPS19/RPL32/RPL15/RPS3A/RPL19/RPL10/RPS3/RPS25/RPL7A/RPL21/RPL36/RPL6/RPL34/RPL12/RPL35A/RPS29/RPLP2/RPL22/RPS15A/RACK1/RPL35/RPL26/RPS4X/RPL18A/FAU/RPLP0/RPL7/RPL18/RPS7/RPL9/RPL10A/UBA52/RPS13/RPL24/RPL23A/RPL3/RPL14/RPS16/RPS5/RPL13A/RPS9/RPS20/RPS21/RPS10/RPS11/RPL38/PABPC1/RPL23/RPL27/RPL4/RPSA/RPL27A/RPL31/EEF1D/EIF3E/EIF3H/EIF3L/RPL36A/RPS17",84
"BP","GO:0006412","translation","91/96","234/1855",0.388888888888889,7.51446759259259,24.8973377536344,8.50002621379008e-83,3.66351129814352e-80,3.66351129814352e-80,"RPL37/YBX1/EEF1A1/RPS18/RPS27/RPLP1/RPL41/RPS23/RPS14/RPS8/RPL37A/RPL13/RPL30/RPS24/RPL39/RPL28/RPS15/RPS6/RPS12/RPS27A/RPL8/RPS2/RPL11/RPS28/RPL29/RPL5/RPS19/RPL32/RPL15/RPS3A/RPL19/RPL10/RPS3/RPS25/RPL7A/RPL21/RPL36/RPL6/RPL34/RPL12/RPL35A/RPS29/RPLP2/RPL22/RPS15A/RACK1/RPL35/RPL26/RPS4X/RPL18A/FAU/RPLP0/RPL7/RPL18/RPS7/RPL9/RPL10A/UBA52/RPS13/RPL24/RPL23A/NACA/RPL3/RPL14/RPS16/RPS5/RPL13A/RPS9/RPS20/RPS21/RPS10/RPS11/RPL38/PABPC1/RPL23/RPL27/RPL4/RPSA/EEF1B2/RPL27A/EEF2/RPL31/EEF1D/RPS4Y1/EIF3E/RBM3/EIF3H/EIF3L/RPL36A/EIF4B/RPS17",91
"BP","GO:0042254","ribosome biogenesis","36/96","75/1855",0.48,9.275,17.0862278960714,3.31695847962486e-29,9.53072736478876e-27,9.53072736478876e-27,"RPS27/RPS23/RPS14/RPS8/RPS24/RPS15/RPS6/RPS12/RPS27A/RPL11/RPS28/RPL5/RPS19/RPS3A/RPS25/RPL7A/RPL35A/RPS15A/RPL35/RPL26/RPS4X/FAU/RPL7/RPS7/RPS13/RPL24/RPL14/RPS16/RPS5/RPS9/RPS21/RPS11/RPL38/RPL27/RPSA/RPS17",36
"BP","GO:0042274","ribosomal small subunit biogenesis","25/96","38/1855",0.657894736842105,12.7124451754386,17.0380334825491,8.85086101448626e-25,1.90736054862179e-22,1.90736054862179e-22,"RPS27/RPS23/RPS14/RPS8/RPS24/RPS15/RPS6/RPS12/RPS27A/RPS28/RPS19/RPS3A/RPS25/RPS15A/RPS4X/FAU/RPS7/RPS13/RPS16/RPS5/RPS9/RPS21/RPS11/RPSA/RPS17",25
"BP","GO:0022613","ribonucleoprotein complex biogenesis","40/96","128/1855",0.3125,6.03841145833333,13.7978051840112,6.38625456340843e-24,1.10099028673161e-21,1.10099028673161e-21,"RPS27/RPS23/RPS14/RPS8/RPS24/RPS15/RPS6/RPS12/RPS27A/RPL11/RPS28/RPL5/RPS19/RPS3A/RPS25/RPL7A/RPL35A/RPS15A/RPL35/RPL26/RPS4X/FAU/RPL7/RPS7/RPS13/RPL24/RPL14/RPS16/RPS5/RPL13A/RPS9/RPS21/RPS11/RPL38/RPL27/RPSA/EIF3E/EIF3H/EIF3L/RPS17",40
"BP","GO:0006364","rRNA processing","22/96","44/1855",0.5,9.66145833333333,13.5804979806695,3.7372075220895e-18,5.36912147340192e-16,5.36912147340192e-16,"RPS27/RPS14/RPS8/RPS24/RPS15/RPS6/RPL11/RPS28/RPL5/RPS19/RPS25/RPL7A/RPL35A/RPL35/RPL26/RPL7/RPS7/RPL14/RPS16/RPS21/RPL27/RPS17",22
"BP","GO:0016072","rRNA metabolic process","22/96","52/1855",0.423076923076923,8.17508012820513,12.2571111841862,3.49372368237733e-16,4.30227116315609e-14,4.30227116315609e-14,"RPS27/RPS14/RPS8/RPS24/RPS15/RPS6/RPL11/RPS28/RPL5/RPS19/RPS25/RPL7A/RPL35A/RPL35/RPL26/RPL7/RPS7/RPL14/RPS16/RPS21/RPL27/RPS17",22
"BP","GO:0042255","ribosome assembly","12/96","23/1855",0.521739130434783,10.0815217391304,10.2356958362972,1.5731143716908e-10,1.69503073549684e-08,1.69503073549684e-08,"RPS27/RPS14/RPS15/RPL11/RPS28/RPL5/RPS19/FAU/RPL24/RPS5/RPL38/RPSA",12
"BP","GO:0000028","ribosomal small subunit assembly","8/96","11/1855",0.727272727272727,14.0530303030303,10.1410936229621,5.6103168958909e-09,5.3734368491755e-07,5.3734368491755e-07,"RPS27/RPS14/RPS15/RPS28/RPS19/FAU/RPS5/RPSA",8
"BP","GO:0042273","ribosomal large subunit biogenesis","9/96","20/1855",0.45,8.6953125,8.08129175330134,1.92315386812474e-07,1.65775863432353e-05,1.65775863432353e-05,"RPL11/RPL5/RPL7A/RPL35A/RPL35/RPL26/RPL7/RPL24/RPL14",9
